OrderID,Customer,Product,Category,Sales,Quantity,OrderDate,City,Region,Country,Latitude,Longitude
1051,Charlie,Laptop,Accessories,1547.32,8,03-13-2024,Tokyo,Tokyo,Japan,35.6895,139.6917
1052,Bob,Printer,Accessories,540.73,8,03-15-2024,Singapore,Central Region,Singapore,1.3521,103.8198
1053,Charlie,Printer,Accessories,250.85,2,03-17-2024,Toronto,Ontario,Canada,43.651,-79.347
1054,Isaac,Headphones,Accessories,379.23,8,01-12-2024,Moscow,Moscow,Russia,55.7558,37.6173
1055,Olivia,Camera,Mobile Devices,1167.02,1,03-30-2024,New York,New York,USA,40.7128,-74.006
1056,Noah,Phone,Electronics,1060.26,7,03-28-2024,London,England,UK,51.5074,-0.1278
1057,Noah,Headphones,Accessories,161.58,4,01-25-2024,Paris,Île-de-France,France,48.8566,2.3522
1058,Olivia,Headphones,Accessories,258.71,2,02-10-2024,Los Angeles,California,USA,34.0522,-118.2437
1059,Hannah,Printer,Accessories,393.67,8,02-01-2024,Sydney,New South Wales,Australia,-33.8688,151.2093
1060,Jack,Laptop,Accessories,1198.45,4,02-24-2024,Mumbai,Maharashtra,India,19.076,72.8777
1061,Isaac,Printer,Accessories,488.83,4,02-22-2024,Tokyo,Tokyo,Japan,35.6895,139.6917
1062,David,Mouse,Accessories,341.21,8,03-07-2024,Dubai,Dubai,UAE,25.276987,55.296249
1063,Ava,Phone,Electronics,1193.29,6,03-18-2024,Los Angeles,California,USA,34.0522,-118.2437
1064,Hannah,Smartwatch,Computers,388.21,4,02-20-2024,Paris,Île-de-France,France,48.8566,2.3522
1065,Hannah,Mouse,Accessories,423.84,1,02-04-2024,Sydney,New South Wales,Australia,-33.8688,151.2093
1066,Emma,Monitor,Computers,926.59,8,01-20-2024,Sydney,New South Wales,Australia,-33.8688,151.2093
1067,Grace,Printer,Accessories,478.77,7,02-13-2024,Cape Town,Western Cape,South Africa,-33.9249,18.4241
1068,Isaac,Printer,Accessories,497.2,2,03-25-2024,Dubai,Dubai,UAE,25.276987,55.296249
1069,Isaac,Monitor,Computers,1268.68,8,03-08-2024,Toronto,Ontario,Canada,43.651,-79.347
1070,Alice,Monitor,Computers,781.03,3,02-21-2024,Los Angeles,California,USA,34.0522,-118.2437
1071,Liam,Camera,Mobile Devices,431.73,2,01-09-2024,São Paulo,São Paulo,Brazil,-23.5505,-46.6333
1072,Noah,Keyboard,Accessories,813.24,2,02-14-2024,Sydney,New South Wales,Australia,-33.8688,151.2093
1073,Isaac,Printer,Accessories,269.94,8,02-22-2024,London,England,UK,51.5074,-0.1278
1074,Olivia,Monitor,Computers,462.87,2,02-21-2024,Singapore,Central Region,Singapore,1.3521,103.8198
1075,Jack,Keyboard,Accessories,313.64,6,02-18-2024,Toronto,Ontario,Canada,43.651,-79.347
1076,Frank,Phone,Electronics,603.14,4,01-17-2024,Paris,Île-de-France,France,48.8566,2.3522
1077,Noah,Printer,Accessories,345.91,9,02-07-2024,Cape Town,Western Cape,South Africa,-33.9249,18.4241
1078,Charlie,Tablet,Accessories,992.82,9,03-24-2024,Moscow,Moscow,Russia,55.7558,37.6173
1079,Noah,Printer,Accessories,318.94,1,02-26-2024,London,England,UK,51.5074,-0.1278
1080,Liam,Laptop,Accessories,1244.55,7,01-04-2024,Mexico City,Mexico City,Mexico,19.4326,-99.1332
1081,Bob,Phone,Electronics,418.63,5,01-06-2024,Toronto,Ontario,Canada,43.651,-79.347
1082,Sophia,Monitor,Computers,686.87,2,03-08-2024,Berlin,Berlin,Germany,52.52,13.405
1083,Ava,Mouse,Accessories,103.95,5,02-29-2024,Singapore,Central Region,Singapore,1.3521,103.8198
1084,Alice,Printer,Accessories,374.9,6,03-14-2024,Dubai,Dubai,UAE,25.276987,55.296249
1085,David,Headphones,Accessories,376.85,1,02-19-2024,New York,New York,USA,40.7128,-74.006
1086,David,Phone,Electronics,715.93,7,02-15-2024,Moscow,Moscow,Russia,55.7558,37.6173
1087,Liam,Headphones,Accessories,207.38,1,01-08-2024,Mexico City,Mexico City,Mexico,19.4326,-99.1332
1088,Liam,Headphones,Accessories,205.84,8,01-06-2024,Toronto,Ontario,Canada,43.651,-79.347
1089,Isaac,Phone,Electronics,887.3,2,01-20-2024,Mumbai,Maharashtra,India,19.076,72.8777
1090,Jack,Camera,Mobile Devices,1262.38,6,03-17-2024,Cape Town,Western Cape,South Africa,-33.9249,18.4241
1091,Liam,Keyboard,Accessories,317.48,9,01-28-2024,Toronto,Ontario,Canada,43.651,-79.347
1092,Charlie,Tablet,Accessories,403.85,7,02-04-2024,Sydney,New South Wales,Australia,-33.8688,151.2093
1093,Grace,Camera,Mobile Devices,927.51,10,01-09-2024,Los Angeles,California,USA,34.0522,-118.2437
1094,Isaac,Printer,Accessories,397.3,10,03-19-2024,Toronto,Ontario,Canada,43.651,-79.347
1095,David,Laptop,Accessories,1334.32,6,03-29-2024,Tokyo,Tokyo,Japan,35.6895,139.6917
1096,Noah,Mouse,Accessories,533.3,10,01-04-2024,Paris,Île-de-France,France,48.8566,2.3522
1097,Charlie,Keyboard,Accessories,853.17,10,03-13-2024,Mexico City,Mexico City,Mexico,19.4326,-99.1332
1098,Liam,Monitor,Computers,709.53,3,02-13-2024,Moscow,Moscow,Russia,55.7558,37.6173
1099,Grace,Mouse,Accessories,472.61,1,02-16-2024,London,England,UK,51.5074,-0.1278
1100,Charlie,Smartwatch,Computers,588.21,3,01-31-2024,Berlin,Berlin,Germany,52.52,13.405
1101,Charlie,Tablet,Accessories,415.84,10,01-24-2024,Berlin,Berlin,Germany,52.52,13.405
1102,David,Camera,Mobile Devices,343.88,7,01-05-2024,Los Angeles,California,USA,34.0522,-118.2437
1103,Bob,Laptop,Accessories,1442.27,3,03-18-2024,London,England,UK,51.5074,-0.1278
1104,Emma,Keyboard,Accessories,599.73,1,03-31-2024,Los Angeles,California,USA,34.0522,-118.2437
1105,Jack,Smartwatch,Computers,314.3,4,01-17-2024,Singapore,Central Region,Singapore,1.3521,103.8198
1106,Liam,Printer,Accessories,578.28,9,01-29-2024,Berlin,Berlin,Germany,52.52,13.405
1107,Sophia,Camera,Mobile Devices,424.91,3,02-11-2024,London,England,UK,51.5074,-0.1278
1108,Jack,Mouse,Accessories,597.74,1,02-04-2024,Berlin,Berlin,Germany,52.52,13.405
1109,Bob,Smartwatch,Computers,551.32,7,03-19-2024,Mumbai,Maharashtra,India,19.076,72.8777
1110,Emma,Tablet,Accessories,874.66,6,02-25-2024,Los Angeles,California,USA,34.0522,-118.2437
1111,David,Monitor,Computers,347.29,2,03-04-2024,Singapore,Central Region,Singapore,1.3521,103.8198
1112,Ava,Printer,Accessories,206.0,9,01-15-2024,Los Angeles,California,USA,34.0522,-118.2437
1113,Frank,Tablet,Accessories,1161.94,10,01-26-2024,Paris,Île-de-France,France,48.8566,2.3522
1114,Jack,Printer,Accessories,415.36,8,03-22-2024,Mexico City,Mexico City,Mexico,19.4326,-99.1332
1115,Charlie,Printer,Accessories,264.86,3,02-03-2024,Toronto,Ontario,Canada,43.651,-79.347
1116,Jack,Printer,Accessories,546.26,6,01-18-2024,New York,New York,USA,40.7128,-74.006
1117,Liam,Laptop,Accessories,1239.34,5,03-31-2024,Mexico City,Mexico City,Mexico,19.4326,-99.1332
1118,Liam,Tablet,Accessories,1172.49,5,01-14-2024,Toronto,Ontario,Canada,43.651,-79.347
1119,Sophia,Phone,Electronics,1055.07,10,01-06-2024,Berlin,Berlin,Germany,52.52,13.405
1120,Jack,Keyboard,Accessories,347.63,3,03-24-2024,Sydney,New South Wales,Australia,-33.8688,151.2093
1121,Noah,Camera,Mobile Devices,551.72,3,03-04-2024,Dubai,Dubai,UAE,25.276987,55.296249
1122,Hannah,Printer,Accessories,351.87,4,02-25-2024,Mumbai,Maharashtra,India,19.076,72.8777
1123,Isaac,Mouse,Accessories,422.18,4,02-03-2024,London,England,UK,51.5074,-0.1278
1124,Ava,Camera,Mobile Devices,679.0,5,01-14-2024,Berlin,Berlin,Germany,52.52,13.405
1125,Hannah,Mouse,Accessories,299.31,10,01-31-2024,Sydney,New South Wales,Australia,-33.8688,151.2093
1126,Charlie,Headphones,Accessories,165.35,9,03-20-2024,London,England,UK,51.5074,-0.1278
1127,Hannah,Phone,Electronics,1216.48,7,03-17-2024,New York,New York,USA,40.7128,-74.006
1128,Bob,Laptop,Accessories,952.22,4,01-12-2024,Sydney,New South Wales,Australia,-33.8688,151.2093
1129,Noah,Mouse,Accessories,199.22,3,02-20-2024,Toronto,Ontario,Canada,43.651,-79.347
1130,Noah,Smartwatch,Computers,598.67,9,01-19-2024,Mumbai,Maharashtra,India,19.076,72.8777
1131,Liam,Smartwatch,Computers,556.35,7,02-11-2024,Los Angeles,California,USA,34.0522,-118.2437
1132,Olivia,Smartwatch,Computers,526.74,1,01-24-2024,Mumbai,Maharashtra,India,19.076,72.8777
1133,Alice,Printer,Accessories,300.13,1,02-14-2024,New York,New York,USA,40.7128,-74.006
1134,Isaac,Smartwatch,Computers,473.11,2,01-16-2024,Sydney,New South Wales,Australia,-33.8688,151.2093
1135,Hannah,Keyboard,Accessories,313.88,1,03-10-2024,Moscow,Moscow,Russia,55.7558,37.6173
1136,Alice,Camera,Mobile Devices,686.22,4,01-23-2024,London,England,UK,51.5074,-0.1278
1137,Frank,Mouse,Accessories,421.59,4,02-14-2024,Berlin,Berlin,Germany,52.52,13.405
1138,Charlie,Mouse,Accessories,598.22,9,01-23-2024,Tokyo,Tokyo,Japan,35.6895,139.6917
1139,Olivia,Phone,Electronics,1031.01,8,02-03-2024,London,England,UK,51.5074,-0.1278
1140,Alice,Keyboard,Accessories,414.74,7,03-17-2024,London,England,UK,51.5074,-0.1278
1141,Bob,Phone,Electronics,893.38,8,01-13-2024,Toronto,Ontario,Canada,43.651,-79.347
1142,Sophia,Headphones,Accessories,106.05,10,02-26-2024,Sydney,New South Wales,Australia,-33.8688,151.2093
1143,Bob,Printer,Accessories,207.49,7,02-13-2024,Berlin,Berlin,Germany,52.52,13.405
1144,Charlie,Printer,Accessories,309.53,4,01-15-2024,Sydney,New South Wales,Australia,-33.8688,151.2093
1145,Ava,Laptop,Accessories,1424.51,5,03-30-2024,São Paulo,São Paulo,Brazil,-23.5505,-46.6333
1146,Alice,Tablet,Accessories,1225.78,6,02-29-2024,New York,New York,USA,40.7128,-74.006
1147,Hannah,Headphones,Accessories,159.41,1,03-27-2024,Paris,Île-de-France,France,48.8566,2.3522
1148,Alice,Mouse,Accessories,452.62,1,03-31-2024,Tokyo,Tokyo,Japan,35.6895,139.6917
1149,Grace,Smartwatch,Computers,688.38,7,02-15-2024,Berlin,Berlin,Germany,52.52,13.405
1150,Charlie,Laptop,Accessories,1411.23,10,01-22-2024,Singapore,Central Region,Singapore,1.3521,103.8198
